task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row,2Header,2Column,2Par 1,2Prompt , 2Answer, 2Answer Column / Row,3Header,3Column,3Par 1, 3Prompt ,3Expected Answer, 3Answer Column / Row, 4Header, 4Column,4Par 1,4Prompt ,4Answer,4Answer Column / Row, 5Header, 5Column,5Par1,5Prompt,5Answer,5Answer Column / Row
,DS15_movie_plain3.png,47,15,movie,plain,3,,Netflix,J,54,"In the 'Netflix' column, count how many cells exceed the value of '54' ",7,J,"Rotten
Tomatoes",C,0.9994148327618346,"Determine which of the last 5 columns is most positively correalated with the first column named 'Rotten
Tomatoes' ",Netflix,K,Fandango,H,98 84 80,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Teenage Girl -Irrational Man -Next Door,10 9 20,"Rotten
Tomatoes",F,,"In the 'Rotten
Tomatoes' column, calculate a rough estimate of the average value",50.241379310344826,F,"Film
 Comment",L,73,"In the 'Film
 Comment' column, find the  with a value equal to '73' ",Adaline Age,19
,DS16_movie_plain4.png,48,16,movie,plain,4,,Hulu,G,57,"In the 'Hulu' column, count how many cells exceed the value of '57' ",6,G,IMDB,C,0.9922747576934067,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J,Netflix,J,71 70 68,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-About Elly-Irrational Man ,18 6 10,IMDB,E,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E,PluggedIn,K,31,"In the 'PluggedIn' column, find the  with a value equal to '31' ",Still Alice,17
,DS1_anime_bar1.png,49,1,anime,bar,1,,Completed,J,80,"In the 'Completed' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,Episodes,L,60 56 53,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Magical Warfare-Queen Kingdom,13 18 27,"Plan
 to Watch",D,,"In the 'Plan
 to Watch' column, calculate a rough estimate of the average value",28.896551724137932,D,Ranked,G,15,"In the 'Ranked' column, find the  with a value equal to '15' ",Best Humanity,16
,DS2_anime_bar2.png,50,2,anime,bar,2,,Members,I,70,"In the 'Members' column, count how many cells exceed the value of '70' ",6,I,"Plan
 to Watch",C,0.9790768125482829,"Determine which of the last 5 columns is most positively correalated with the first column named 'Plan
 to Watch' ",Favorites,L,Members,I,88 86 83,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Beating Music-Hungry Heart,5 18 6,Popularity,F,,"In the 'Popularity' column, calculate a rough estimate of the average value",62.37931034482759,F,Watching,H,26,"In the 'Watching' column, find the  with a value equal to '26' ",Queen Kingdom,20
,DS3_anime_bar3.png,51,3,anime,bar,3,,Ranked,G,88,"In the 'Ranked' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.9922747576934067,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,Favorites,J,75 73 71,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",King Ranking-Ultimate horror-Queen Kingdom,5 10 11,Watching,E,,"In the 'Watching' column, calculate a rough estimate of the average value",37.86206896551724,E,"Plan
 to Watch",I,17,"In the 'Plan
 to Watch' column, find the  with a value equal to '17' ",Great Teacher,16
,DS4_anime_bar4.png,52,4,anime,bar,4,,Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.9994148327618343,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror,6 24 22,Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G,Popularity,J,12,"In the 'Popularity' column, find the  with a value equal to '12' ",Helping Alice,18
,DS5_cereal_bar1.png,53,5,cereal,bar,1,,Carbo,I,57,"In the 'Carbo' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Lucky Charms-Smile Maker-Wonderful Chex,5 19 20,Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F,Protein,K,51,"In the 'Protein' column, find the  with a value equal to '51' ",Mini Wheats,17
,DS6_cereal_bar2.png,54,6,cereal,bar,2,,Sodium,H,70,"In the 'Sodium' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.9922747576934069,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Almond Delight-Post Nat,22 3 7,Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",42.10344827586207,E,Sodium,H,32,"In the 'Sodium' column, find the  with a value equal to '32' ",Colorful Bran,19
,DS7_cereal_bar3.png,55,7,cereal,bar,3,,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.9994148327618343,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Fruity Pebbles-Colorful Bran-Cap Crunch,7 23 18,Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D,Calories,I,83,"In the 'Calories' column, find the  with a value equal to '83' ",Corn Favorite,17
,DS8_cereal_bar4.png,56,8,cereal,bar,4,,Sugars,K,60,"In the 'Sugars' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.9994148327618345,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Sugars,K,75 73 71,"In the 'Sugars' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Fruit Fibre-Colorful Bran,16 10 19,Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E,Sugars,K,26,"In the 'Sugars' column, find the  with a value equal to '26' ",Double Chex,20
,DS9_candy_bar1.png,57,9,candy,bar,1,,Rating,K,66,"In the 'Rating' column, count how many cells exceed the value of '66' ",5,K,Hard,C,0.9994148327618345,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L,Caramel,H,98 84 80,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",Lemon Head-Junior Mints-Gob Stopper,30 9 11,Chocolate,G,,"In the 'Chocolate' column, calculate a rough estimate of the average value",37.86206896551724,G,Pluribus,J,32,"In the 'Pluribus' column, find the  with a value equal to '32' ",Pixie Sticks,19
,DS10_candy_bar2.png,58,10,candy,bar,2,,Caramel,J,38,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J,"Sugar
Percent",C,0.9994148327618345,"Determine which of the last 5 columns is most positively correalated with the first column named 'Sugar
Percent' ",Rating,J,Price,K,75 73 71,"In the 'Price' column, give the row names of the candys with the highest 3 values in descending order ",Now Later-Milk Duds-Crunch Time,31 8 26,Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D,Price,K,68,"In the 'Price' column, find the  with a value equal to '68' ",Hersheys Kisses,17
,DS11_candy_bar3.png,59,11,candy,bar,3,,"Sugar
Percent",G,50,"In the 'Sugar
Percent' column, count how many cells exceed the value of '50' ",7,G,Rating,C,0.9994148327618345,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K,Rating,L,75 73 71,"In the 'Rating' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Air Heads-Caramel Apple,27 12 28,Fruity,F,,"In the 'Fruity' column, calculate a rough estimate of the average value",50.241379310344826,F,Rating,L,26,"In the 'Rating' column, find the  with a value equal to '26' ",Fruit Chews,11
,DS12_candy_bar4.png,60,12,candy,bar,4,,Bar,I,57,"In the 'Bar' column, count how many cells exceed the value of '57' ",6,I,Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I,Almond,J,98 97 95,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Reese Pieces-Cheese Bears-Berry Chews,30 19 16,"Sugar
Percent",G,,"In the 'Sugar
Percent' column, calculate a rough estimate of the average value",37.86206896551724,G,Rating,K,15,"In the 'Rating' column, find the  with a value equal to '15' ",Quarter World,15
,DS13_movie_bar1.png,61,13,movie,bar,1,,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H,Naver,C,0.9922747576934071,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Adaline Age-Project Almanac-Ricki Flash,21 16 17,Metacritic,E,,"In the 'Metacritic' column, calculate a rough estimate of the average value",52.310344827586206,E,IMDB,J,67,"In the 'IMDB' column, find the  with a value equal to '67' ",South Paw,20
,DS14_movie_bar2.png,62,14,movie,bar,2,,Hulu,I,76,"In the 'Hulu' column, count how many cells exceed the value of '76' ",8,I,MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Fantastic Four-Flights Up-Hunting Ground,5 21 20,Fandango,G,,"In the 'Fandango' column, calculate a rough estimate of the average value",37.86206896551724,G,Hulu,I,79,"In the 'Hulu' column, find the  with a value equal to '79' ",Saint Laurent,18
,DS15_movie_bar3.png,63,15,movie,bar,3,,PluggedIn,J,54,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7,J,"Rotten
Tomatoes",C,0.9994148327618346,"Determine which of the last 5 columns is most positively correalated with the first column named 'Rotten
Tomatoes' ",Netflix,K,"Film
 Comment",H,98 84 80,"In the 'Film
 Comment' column, give the row names of the movies with the highest 3 values in descending order ",South Paw-Next Door-Black Sea,10 9 20,Metacritic,F,,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.241379310344826,F,Naver,L,73,"In the 'Naver' column, find the  with a value equal to '73' ",End Tour,19
,DS16_movie_bar4.png,64,16,movie,bar,4,,Netflix,G,57,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6,G,IMDB,C,0.9922747576934067,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J,Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-End Tour-Tomorrow land,18 6 10,Hulu,E,,"In the 'Hulu' column, calculate a rough estimate of the average value",52.310344827586206,E,"Film
 Comment",K,31,"In the 'Film
 Comment' column, find the  with a value equal to '31' ",Next Door,17
